Abdominal aortic aneurysm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.066	0.0	0.0	0.0	0.0	95.939	0.0	1.066	2.132	0.0	0.0	1.066	0.0	0.0	100.203	
Anemia	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	45.105	0.0	0.0	6.601	0.0	0.0	0.0	0.0	0.0	0.0	
Arthritis	6.214	0.0	0.0	0.0	1.554	0.0	0.0	3.107	0.0	77.676	0.0	1.554	0.0	85.444	1.554	0.0	13.982	0.0	0.0	0.0	1.554	0.0	0.0	
Bronchitis	9.916	0.0	0.0	0.0	0.0	42.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.41	0.0	17.353	9.916	0.0	0.0	0.0	0.0	0.0	0.0	
Cold sore	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common cold	7.835	19.587	0.0	0.0	1.306	28.728	0.0	0.0	0.0	0.0	6.529	6.529	3.917	74.432	2.612	2.612	3.917	0.0	0.0	0.0	0.0	0.0	0.0	
Conjunctivitis	0.0	0.0	0.0	0.0	6.63	0.0	2.21	0.0	0.0	0.0	2.21	0.0	2.21	46.409	125.967	2.21	11.05	0.0	0.0	0.0	0.0	0.0	0.0	
Influenza	7.336	1.295	0.0	0.863	1.726	6.473	0.0	1.295	0.0	0.0	1.295	1.726	1.726	67.32	4.747	0.0	0.0	0.432	0.0	0.863	0.863	0.0	0.863	
Gallstones	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gastroenteritis	8.877	0.0	0.0	45.495	1.11	0.0	2.219	5.548	0.0	0.0	0.0	1.11	1.11	54.372	1.11	1.11	3.329	1.11	0.0	1.11	0.0	0.0	8.877	
Gastro-oesophageal reflux disease	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Glandular fever	294.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gout	2.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.232	0.0	2.264	1.132	62.274	0.0	1.132	2.264	0.0	0.0	14.719	1.132	0.0	1.132	
